METADATA_JUNK_ROW
id,name,category,price,stock,description
ID_040,Item 40,Garden,144.93,28,Description for item 40 with some random text.
ID_041,Item 41,Electronics,476.95,85,Description for item 41 with some random text.
ID_042,Item 42,Garden,30.87,24,Description for item 42 with some random text.
ID_043,Item 43,Electronics,35.43,68,Description for item 43 with some random text.
ID_044,Item 44,Home,133.37,22,Description for item 44 with some random text.
ID_045,Item 45,Home,153.23,45,Description for item 45 with some random text.
ID_046,Item 46,Garden,158.72,63,Description for item 46 with some random text.
ID_047,Item 47,Electronics,20.84,15,Description for item 47 with some random text.
ID_048,Item 48,Home,224.15,74,Description for item 48 with some random text.
ID_049,Item 49,Garden,112.69,5,Description for item 49 with some random text.
ID_050,Item 50,Home,165.64,36,Description for item 50 with some random text.
ID_051,Item 51,Electronics,287.94,53,Description for item 51 with some random text.
ID_052,Item 52,Home,299.67,83,Description for item 52 with some random text.
ID_053,Item 53,Garden,485.64,69,Description for item 53 with some random text.
ID_054,Item 54,Electronics,114.39,93,Description for item 54 with some random text.
ID_055,Item 55,Electronics,105.67,43,Description for item 55 with some random text.
ID_056,Item 56,Electronics,105.63,38,Description for item 56 with some random text.
ID_057,Item 57,Garden,496.24,51,Description for item 57 with some random text.
ID_058,Item 58,Garden,36.75,70,Description for item 58 with some random text.
ID_059,Item 59,Electronics,279.61,1,Description for item 59 with some random text.
ID_060,Item 60,Electronics,395.46,5,Description for item 60 with some random text.
ID_061,Item 61,Toys,454.73,76,Description for item 61 with some random text.
ID_062,Item 62,Home,421.82,29,Description for item 62 with some random text.
ID_063,Item 63,Toys,275.58,66,Description for item 63 with some random text.
ID_064,Item 64,Home,335.49,100,Description for item 64 with some random text.
ID_065,Item 65,Toys,368.38,7,Description for item 65 with some random text.
ID_066,Item 66,Garden,306.0,66,Description for item 66 with some random text.
ID_067,Item 67,Toys,231.94,12,Description for item 67 with some random text.
ID_068,Item 68,Home,411.75,35,Description for item 68 with some random text.
ID_069,Item 69,Garden,440.51,19,Description for item 69 with some random text.
ID_070,Item 70,Home,163.38,2,Description for item 70 with some random text.
ID_071,Item 71,Electronics,202.38,57,Description for item 71 with some random text.
ID_072,Item 72,Garden,469.63,40,Description for item 72 with some random text.
ID_073,Item 73,Electronics,180.78,55,Description for item 73 with some random text.
ID_074,Item 74,Home,297.87,40,Description for item 74 with some random text.
ID_075,Item 75,Home,474.86,74,Description for item 75 with some random text.
ID_076,Item 76,Electronics,253.51,39,Description for item 76 with some random text.
ID_077,Item 77,Electronics,181.97,91,Description for item 77 with some random text.
ID_078,Item 78,Toys,34.06,98,Description for item 78 with some random text.
ID_079,Item 79,Electronics,245.39,73,Description for item 79 with some random text.
ID_080,Item 80,Home,126.39,6,Description for item 80 with some random text.
ID_081,Item 81,Electronics,231.11,87,Description for item 81 with some random text.
ID_082,Item 82,Home,169.5,28,Description for item 82 with some random text.
ID_083,Item 83,Electronics,441.53,61,Description for item 83 with some random text.
ID_084,Item 84,Garden,397.91,69,Description for item 84 with some random text.
ID_085,Item 85,Electronics,427.16,90,Description for item 85 with some random text.
ID_086,Item 86,Garden,290.32,15,Description for item 86 with some random text.
ID_087,Item 87,Home,417.14,68,Description for item 87 with some random text.
ID_088,Item 88,Home,430.39,6,Description for item 88 with some random text.
ID_089,Item 89,Electronics,323.79,85,Description for item 89 with some random text.
ID_090,Item 90,Home,32.63,62,Description for item 90 with some random text.
ID_091,Item 91,Home,478.68,18,Description for item 91 with some random text.
ID_092,Item 92,Garden,60.01,77,Description for item 92 with some random text.
ID_093,Item 93,Toys,54.77,45,Description for item 93 with some random text.
ID_094,Item 94,Home,94.2,96,Description for item 94 with some random text.
ID_095,Item 95,Toys,352.72,11,Description for item 95 with some random text.
ID_096,Item 96,Home,306.53,40,Description for item 96 with some random text.
ID_097,Item 97,Toys,195.67,52,Description for item 97 with some random text.
ID_098,Item 98,Home,73.55,33,Description for item 98 with some random text.
ID_099,Item 99,Home,253.14,91,Description for item 99 with some random text.
ID_100,Item 100,Electronics,32.7,49,Description for item 100 with some random text.
ID_101,Item 101,Home,30.1,0,Description for item 101 with some random text.
ID_102,Item 102,Electronics,92.27,69,Description for item 102 with some random text.
ID_103,Item 103,Electronics,91.36,4,Description for item 103 with some random text.
ID_104,Item 104,Toys,445.4,51,Description for item 104 with some random text.
ID_105,Item 105,Electronics,21.47,82,Description for item 105 with some random text.
ID_106,Item 106,Electronics,281.46,59,Description for item 106 with some random text.
ID_107,Item 107,Electronics,382.26,75,Description for item 107 with some random text.
ID_108,Item 108,Garden,133.85,26,Description for item 108 with some random text.
ID_109,Item 109,Electronics,337.85,80,Description for item 109 with some random text.
ID_110,Item 110,Electronics,142.61,53,Description for item 110 with some random text.
ID_111,Item 111,Garden,94.08,59,Description for item 111 with some random text.
ID_112,Item 112,Toys,479.18,52,Description for item 112 with some random text.
ID_113,Item 113,Home,225.1,21,Description for item 113 with some random text.
ID_114,Item 114,Garden,398.22,76,Description for item 114 with some random text.
ID_115,Item 115,Garden,212.65,7,Description for item 115 with some random text.
ID_116,Item 116,Home,241.22,85,Description for item 116 with some random text.
ID_117,Item 117,Electronics,470.6,70,Description for item 117 with some random text.
ID_118,Item 118,Electronics,75.86,96,Description for item 118 with some random text.
ID_119,Item 119,Home,433.08,33,Description for item 119 with some random text.
ID_120,Item 120,Garden,497.34,8,Description for item 120 with some random text.
ID_121,Item 121,Electronics,132.32,70,Description for item 121 with some random text.
ID_122,Item 122,Home,351.71,43,Description for item 122 with some random text.
ID_123,Item 123,Electronics,121.17,43,Description for item 123 with some random text.
ID_124,Item 124,Toys,54.23,73,Description for item 124 with some random text.
ID_125,Item 125,Toys,90.49,13,Description for item 125 with some random text.
ID_126,Item 126,Electronics,43.88,28,Description for item 126 with some random text.
ID_127,Item 127,Electronics,457.49,92,Description for item 127 with some random text.
ID_128,Item 128,Electronics,121.12,0,Description for item 128 with some random text.
ID_129,Item 129,Electronics,155.78,98,Description for item 129 with some random text.
ID_130,Item 130,Toys,175.34,67,Description for item 130 with some random text.
ID_131,Item 131,Home,475.92,48,Description for item 131 with some random text.
ID_132,Item 132,Electronics,129.81,55,Description for item 132 with some random text.
ID_133,Item 133,Garden,336.26,97,Description for item 133 with some random text.
ID_134,Item 134,Toys,79.26,96,Description for item 134 with some random text.
ID_135,Item 135,Garden,424.85,13,Description for item 135 with some random text.
ID_136,Item 136,Electronics,191.38,29,Description for item 136 with some random text.
ID_137,Item 137,Toys,33.86,72,Description for item 137 with some random text.
ID_138,Item 138,Toys,170.58,70,Description for item 138 with some random text.
ID_139,Item 139,Garden,360.73,41,Description for item 139 with some random text.
ID_140,Item 140,Toys,113.55,29,Description for item 140 with some random text.
ID_141,Item 141,Electronics,177.84,95,Description for item 141 with some random text.
ID_142,Item 142,Garden,127.83,78,Description for item 142 with some random text.
ID_143,Item 143,Toys,78.23,97,Description for item 143 with some random text.
ID_144,Item 144,Home,78.02,8,Description for item 144 with some random text.
ID_145,Item 145,Garden,311.93,65,Description for item 145 with some random text.
ID_146,Item 146,Electronics,214.77,77,Description for item 146 with some random text.
ID_147,Item 147,Electronics,468.94,61,Description for item 147 with some random text.
ID_148,Item 148,Electronics,214.59,32,Description for item 148 with some random text.
ID_149,Item 149,Toys,63.42,13,Description for item 149 with some random text.
ID_150,Item 150,Electronics,280.91,51,Description for item 150 with some random text.
ID_151,Item 151,Electronics,68.63,58,Description for item 151 with some random text.
ID_152,Item 152,Home,197.36,44,Description for item 152 with some random text.
ID_153,Item 153,Electronics,370.36,21,Description for item 153 with some random text.
ID_154,Item 154,Garden,36.71,58,Description for item 154 with some random text.
ID_155,Item 155,Toys,325.33,64,Description for item 155 with some random text.
ID_156,Item 156,Home,86.74,27,Description for item 156 with some random text.
ID_157,Item 157,Garden,91.74,6,Description for item 157 with some random text.
ID_158,Item 158,Toys,356.26,72,Description for item 158 with some random text.
ID_159,Item 159,Garden,278.86,25,Description for item 159 with some random text.
ID_160,Item 160,Electronics,294.84,24,Description for item 160 with some random text.
ID_161,Item 161,Electronics,242.16,8,Description for item 161 with some random text.
ID_162,Item 162,Toys,323.08,0,Description for item 162 with some random text.
ID_163,Item 163,Garden,145.87,21,Description for item 163 with some random text.
ID_164,Item 164,Home,287.11,78,Description for item 164 with some random text.
ID_165,Item 165,Garden,393.84,79,Description for item 165 with some random text.
ID_166,Item 166,Garden,12.75,68,Description for item 166 with some random text.
ID_167,Item 167,Garden,117.45,13,Description for item 167 with some random text.
ID_168,Item 168,Electronics,422.55,25,Description for item 168 with some random text.
ID_169,Item 169,Garden,99.1,57,Description for item 169 with some random text.
ID_170,Item 170,Toys,234.81,94,Description for item 170 with some random text.
ID_171,Item 171,Toys,353.15,42,Description for item 171 with some random text.
ID_172,Item 172,Garden,97.61,17,Description for item 172 with some random text.
ID_173,Item 173,Electronics,56.64,56,Description for item 173 with some random text.
ID_174,Item 174,Toys,95.1,66,Description for item 174 with some random text.
ID_175,Item 175,Home,174.91,32,Description for item 175 with some random text.
ID_176,Item 176,Garden,138.67,10,Description for item 176 with some random text.
ID_177,Item 177,Toys,138.08,74,Description for item 177 with some random text.
ID_178,Item 178,Toys,457.63,16,Description for item 178 with some random text.
ID_179,Item 179,Home,57.82,37,Description for item 179 with some random text.
ID_180,Item 180,Garden,397.95,48,Description for item 180 with some random text.
ID_181,Item 181,Garden,381.11,48,Description for item 181 with some random text.
ID_182,Item 182,Electronics,369.83,79,Description for item 182 with some random text.
ID_183,Item 183,Garden,192.01,49,Description for item 183 with some random text.
ID_184,Item 184,Garden,476.51,42,Description for item 184 with some random text.
ID_185,Item 185,Garden,411.76,28,Description for item 185 with some random text.
ID_186,Item 186,Garden,468.94,100,Description for item 186 with some random text.
ID_187,Item 187,Home,80.88,43,Description for item 187 with some random text.
ID_188,Item 188,Electronics,126.15,69,Description for item 188 with some random text.
ID_189,Item 189,Electronics,365.59,96,Description for item 189 with some random text.
ID_190,Item 190,Toys,321.77,40,Description for item 190 with some random text.
ID_191,Item 191,Home,191.33,43,Description for item 191 with some random text.
ID_192,Item 192,Electronics,117.71,89,Description for item 192 with some random text.
ID_193,Item 193,Electronics,221.76,74,Description for item 193 with some random text.
ID_194,Item 194,Garden,137.11,11,Description for item 194 with some random text.
ID_195,Item 195,Toys,383.68,11,Description for item 195 with some random text.
ID_196,Item 196,Toys,29.62,4,Description for item 196 with some random text.
ID_197,Item 197,Garden,357.79,82,Description for item 197 with some random text.
ID_198,Item 198,Electronics,230.0,67,Description for item 198 with some random text.
ID_199,Item 199,Garden,66.86,0,Description for item 199 with some random text.
ID_200,Item 200,Garden,203.79,53,Description for item 200 with some random text.
ID_201,Item 201,Home,214.17,5,Description for item 201 with some random text.
ID_202,Item 202,Garden,338.26,84,Description for item 202 with some random text.
ID_203,Item 203,Garden,410.93,70,Description for item 203 with some random text.
ID_204,Item 204,Toys,479.73,94,Description for item 204 with some random text.
ID_205,Item 205,Electronics,355.87,61,Description for item 205 with some random text.
ID_206,Item 206,Garden,431.02,13,Description for item 206 with some random text.
ID_207,Item 207,Toys,100.58,18,Description for item 207 with some random text.
ID_208,Item 208,Garden,320.32,5,Description for item 208 with some random text.
ID_209,Item 209,Toys,169.05,20,Description for item 209 with some random text.
ID_210,Item 210,Home,445.27,62,Description for item 210 with some random text.
ID_211,Item 211,Electronics,188.84,68,Description for item 211 with some random text.
ID_212,Item 212,Toys,404.89,8,Description for item 212 with some random text.
ID_213,Item 213,Toys,337.22,74,Description for item 213 with some random text.
ID_214,Item 214,Toys,458.46,21,Description for item 214 with some random text.
ID_215,Item 215,Home,101.17,79,Description for item 215 with some random text.
ID_216,Item 216,Garden,219.55,41,Description for item 216 with some random text.
ID_217,Item 217,Home,209.43,7,Description for item 217 with some random text.
ID_218,Item 218,Toys,496.75,59,Description for item 218 with some random text.
ID_219,Item 219,Toys,89.83,8,Description for item 219 with some random text.
ID_220,Item 220,Home,456.0,68,Description for item 220 with some random text.
ID_221,Item 221,Electronics,303.46,93,Description for item 221 with some random text.
ID_222,Item 222,Home,492.01,82,Description for item 222 with some random text.
ID_223,Item 223,Toys,479.0,18,Description for item 223 with some random text.
ID_224,Item 224,Electronics,323.21,79,Description for item 224 with some random text.
ID_225,Item 225,Toys,173.73,88,Description for item 225 with some random text.
ID_226,Item 226,Toys,55.98,17,Description for item 226 with some random text.
ID_227,Item 227,Home,374.62,42,Description for item 227 with some random text.
ID_228,Item 228,Electronics,209.33,71,Description for item 228 with some random text.
ID_229,Item 229,Home,309.89,1,Description for item 229 with some random text.
ID_230,Item 230,Toys,493.86,57,Description for item 230 with some random text.
ID_231,Item 231,Toys,220.21,77,Description for item 231 with some random text.
ID_232,Item 232,Electronics,94.86,22,Description for item 232 with some random text.
ID_233,Item 233,Home,265.53,0,Description for item 233 with some random text.
ID_234,Item 234,Toys,91.19,68,Description for item 234 with some random text.
ID_235,Item 235,Home,112.72,69,Description for item 235 with some random text.
ID_236,Item 236,Toys,77.67,89,Description for item 236 with some random text.
ID_237,Item 237,Home,473.41,62,Description for item 237 with some random text.
ID_238,Item 238,Electronics,281.04,97,Description for item 238 with some random text.
ID_239,Item 239,Electronics,172.03,33,Description for item 239 with some random text.
ID_240,Item 240,Garden,491.48,20,Description for item 240 with some random text.
ID_241,Item 241,Home,206.89,92,Description for item 241 with some random text.
ID_242,Item 242,Toys,452.3,86,Description for item 242 with some random text.
ID_243,Item 243,Electronics,470.92,76,Description for item 243 with some random text.
ID_244,Item 244,Home,304.36,37,Description for item 244 with some random text.
ID_245,Item 245,Garden,410.78,79,Description for item 245 with some random text.
ID_246,Item 246,Home,350.83,0,Description for item 246 with some random text.
ID_247,Item 247,Home,205.15,68,Description for item 247 with some random text.
ID_248,Item 248,Home,110.1,55,Description for item 248 with some random text.
ID_249,Item 249,Garden,498.87,40,Description for item 249 with some random text.
ID_250,Item 250,Garden,43.18,89,Description for item 250 with some random text.
ID_251,Item 251,Garden,100.04,43,Description for item 251 with some random text.
ID_252,Item 252,Home,367.74,86,Description for item 252 with some random text.
ID_253,Item 253,Home,294.38,25,Description for item 253 with some random text.
ID_254,Item 254,Home,411.29,11,Description for item 254 with some random text.
ID_255,Item 255,Home,283.36,10,Description for item 255 with some random text.
ID_256,Item 256,Electronics,208.66,58,Description for item 256 with some random text.
ID_257,Item 257,Electronics,359.29,66,Description for item 257 with some random text.
ID_258,Item 258,Toys,358.89,65,Description for item 258 with some random text.
ID_259,Item 259,Toys,209.48,97,Description for item 259 with some random text.
ID_260,Item 260,Electronics,389.15,82,Description for item 260 with some random text.
ID_261,Item 261,Home,279.03,46,Description for item 261 with some random text.
ID_262,Item 262,Toys,214.64,100,Description for item 262 with some random text.
ID_263,Item 263,Toys,301.69,66,Description for item 263 with some random text.
ID_264,Item 264,Electronics,209.32,77,Description for item 264 with some random text.
ID_265,Item 265,Electronics,436.35,91,Description for item 265 with some random text.
ID_266,Item 266,Home,114.12,48,Description for item 266 with some random text.
ID_267,Item 267,Electronics,263.79,62,Description for item 267 with some random text.
ID_268,Item 268,Toys,230.58,89,Description for item 268 with some random text.
ID_269,Item 269,Electronics,291.36,12,Description for item 269 with some random text.
ID_270,Item 270,Electronics,71.75,87,Description for item 270 with some random text.
ID_271,Item 271,Toys,155.07,80,Description for item 271 with some random text.
ID_272,Item 272,Home,73.41,99,Description for item 272 with some random text.
ID_273,Item 273,Toys,418.13,7,Description for item 273 with some random text.
ID_274,Item 274,Toys,26.87,66,Description for item 274 with some random text.
ID_275,Item 275,Garden,350.96,5,Description for item 275 with some random text.
ID_276,Item 276,Electronics,224.06,51,Description for item 276 with some random text.
ID_277,Item 277,Electronics,481.25,8,Description for item 277 with some random text.
ID_278,Item 278,Garden,385.81,52,Description for item 278 with some random text.
ID_279,Item 279,Electronics,471.36,90,Description for item 279 with some random text.
ID_280,Item 280,Garden,130.25,87,Description for item 280 with some random text.
ID_281,Item 281,Home,272.96,76,Description for item 281 with some random text.
ID_282,Item 282,Electronics,267.7,89,Description for item 282 with some random text.
ID_283,Item 283,Electronics,385.79,15,Description for item 283 with some random text.
ID_284,Item 284,Toys,76.74,7,Description for item 284 with some random text.
ID_285,Item 285,Toys,453.6,19,Description for item 285 with some random text.
ID_286,Item 286,Garden,378.59,25,Description for item 286 with some random text.
ID_287,Item 287,Garden,183.31,2,Description for item 287 with some random text.
ID_288,Item 288,Garden,365.18,31,Description for item 288 with some random text.
ID_289,Item 289,Garden,372.18,2,Description for item 289 with some random text.
ID_290,Item 290,Toys,87.78,39,Description for item 290 with some random text.
ID_291,Item 291,Home,493.86,34,Description for item 291 with some random text.
ID_292,Item 292,Electronics,348.26,39,Description for item 292 with some random text.
ID_293,Item 293,Home,101.35,19,Description for item 293 with some random text.
ID_294,Item 294,Garden,223.85,81,Description for item 294 with some random text.
ID_295,Item 295,Toys,487.5,62,Description for item 295 with some random text.
ID_296,Item 296,Toys,465.48,19,Description for item 296 with some random text.
ID_297,Item 297,Toys,88.3,36,Description for item 297 with some random text.
ID_298,Item 298,Electronics,11.22,97,Description for item 298 with some random text.
ID_299,Item 299,Home,418.39,88,Description for item 299 with some random text.
ID_300,Item 300,Toys,331.88,94,Description for item 300 with some random text.
ID_301,Item 301,Electronics,400.45,41,Description for item 301 with some random text.
ID_302,Item 302,Home,460.72,32,Description for item 302 with some random text.
ID_303,Item 303,Garden,245.5,97,Description for item 303 with some random text.
ID_304,Item 304,Toys,498.33,36,Description for item 304 with some random text.
ID_305,Item 305,Electronics,348.41,96,Description for item 305 with some random text.
ID_306,Item 306,Garden,459.32,9,Description for item 306 with some random text.
ID_307,Item 307,Home,177.88,43,Description for item 307 with some random text.
ID_308,Item 308,Toys,322.51,6,Description for item 308 with some random text.
ID_309,Item 309,Home,242.84,6,Description for item 309 with some random text.
ID_310,Item 310,Garden,427.01,81,Description for item 310 with some random text.
ID_311,Item 311,Home,22.12,79,Description for item 311 with some random text.
ID_312,Item 312,Toys,94.27,76,Description for item 312 with some random text.
ID_313,Item 313,Garden,429.31,16,Description for item 313 with some random text.
ID_314,Item 314,Toys,445.35,1,Description for item 314 with some random text.
ID_315,Item 315,Electronics,189.03,18,Description for item 315 with some random text.
ID_316,Item 316,Garden,485.25,88,Description for item 316 with some random text.
ID_317,Item 317,Electronics,333.69,11,Description for item 317 with some random text.
ID_318,Item 318,Garden,99.62,63,Description for item 318 with some random text.
ID_319,Item 319,Home,463.64,94,Description for item 319 with some random text.
ID_320,Item 320,Electronics,318.11,33,Description for item 320 with some random text.
ID_321,Item 321,Garden,263.69,2,Description for item 321 with some random text.
ID_322,Item 322,Home,251.82,67,Description for item 322 with some random text.
ID_323,Item 323,Home,306.95,44,Description for item 323 with some random text.
ID_324,Item 324,Toys,77.81,21,Description for item 324 with some random text.
ID_325,Item 325,Electronics,346.26,13,Description for item 325 with some random text.
ID_326,Item 326,Electronics,193.84,69,Description for item 326 with some random text.
ID_327,Item 327,Toys,107.44,36,Description for item 327 with some random text.
ID_328,Item 328,Electronics,15.66,14,Description for item 328 with some random text.
ID_329,Item 329,Home,245.68,87,Description for item 329 with some random text.
ID_330,Item 330,Toys,11.6,48,Description for item 330 with some random text.
ID_331,Item 331,Toys,419.6,59,Description for item 331 with some random text.
ID_332,Item 332,Home,318.25,68,Description for item 332 with some random text.
ID_333,Item 333,Home,103.74,40,Description for item 333 with some random text.
ID_334,Item 334,Garden,49.76,82,Description for item 334 with some random text.
ID_335,Item 335,Garden,468.89,0,Description for item 335 with some random text.
ID_336,Item 336,Electronics,100.71,22,Description for item 336 with some random text.
ID_337,Item 337,Toys,69.73,0,Description for item 337 with some random text.
ID_338,Item 338,Electronics,207.87,60,Description for item 338 with some random text.
ID_339,Item 339,Toys,185.55,34,Description for item 339 with some random text.
ID_340,Item 340,Electronics,21.74,39,Description for item 340 with some random text.
ID_341,Item 341,Garden,18.37,72,Description for item 341 with some random text.
ID_342,Item 342,Home,22.58,64,Description for item 342 with some random text.
ID_343,Item 343,Garden,297.84,12,Description for item 343 with some random text.
ID_344,Item 344,Garden,373.66,14,Description for item 344 with some random text.
ID_345,Item 345,Garden,123.16,94,Description for item 345 with some random text.
ID_346,Item 346,Garden,302.32,65,Description for item 346 with some random text.
ID_347,Item 347,Garden,301.83,83,Description for item 347 with some random text.
ID_348,Item 348,Toys,208.41,76,Description for item 348 with some random text.
ID_349,Item 349,Toys,70.81,46,Description for item 349 with some random text.
ID_350,Item 350,Garden,393.44,85,Description for item 350 with some random text.
ID_351,Item 351,Garden,122.48,57,Description for item 351 with some random text.
ID_352,Item 352,Home,314.81,45,Description for item 352 with some random text.
ID_353,Item 353,Electronics,66.68,66,Description for item 353 with some random text.
ID_354,Item 354,Home,215.65,78,Description for item 354 with some random text.
ID_355,Item 355,Home,24.69,93,Description for item 355 with some random text.
ID_356,Item 356,Home,247.31,25,Description for item 356 with some random text.
ID_357,Item 357,Toys,48.58,65,Description for item 357 with some random text.
ID_358,Item 358,Electronics,490.43,83,Description for item 358 with some random text.
ID_359,Item 359,Home,481.5,43,Description for item 359 with some random text.
ID_360,Item 360,Home,353.97,76,Description for item 360 with some random text.
ID_361,Item 361,Garden,324.61,70,Description for item 361 with some random text.
ID_362,Item 362,Electronics,156.84,4,Description for item 362 with some random text.
ID_363,Item 363,Electronics,40.18,42,Description for item 363 with some random text.
ID_364,Item 364,Electronics,387.83,90,Description for item 364 with some random text.
ID_365,Item 365,Toys,12.25,94,Description for item 365 with some random text.
ID_366,Item 366,Toys,222.59,82,Description for item 366 with some random text.
ID_367,Item 367,Electronics,490.9,65,Description for item 367 with some random text.
ID_368,Item 368,Toys,244.66,85,Description for item 368 with some random text.
ID_369,Item 369,Toys,283.74,75,Description for item 369 with some random text.
ID_370,Item 370,Home,86.05,40,Description for item 370 with some random text.
ID_371,Item 371,Garden,424.53,13,Description for item 371 with some random text.
ID_372,Item 372,Toys,456.64,13,Description for item 372 with some random text.
ID_373,Item 373,Garden,165.22,79,Description for item 373 with some random text.
ID_374,Item 374,Toys,298.91,71,Description for item 374 with some random text.
ID_375,Item 375,Electronics,104.45,63,Description for item 375 with some random text.
ID_376,Item 376,Garden,438.28,27,Description for item 376 with some random text.
ID_377,Item 377,Toys,189.71,1,Description for item 377 with some random text.
ID_378,Item 378,Electronics,142.83,36,Description for item 378 with some random text.
ID_379,Item 379,Home,88.54,71,Description for item 379 with some random text.
ID_380,Item 380,Toys,141.2,99,Description for item 380 with some random text.
ID_381,Item 381,Electronics,487.97,15,Description for item 381 with some random text.
ID_382,Item 382,Toys,283.77,91,Description for item 382 with some random text.
ID_383,Item 383,Electronics,382.22,80,Description for item 383 with some random text.
ID_384,Item 384,Electronics,303.61,100,Description for item 384 with some random text.
ID_385,Item 385,Toys,415.13,40,Description for item 385 with some random text.
ID_386,Item 386,Toys,260.11,48,Description for item 386 with some random text.
ID_387,Item 387,Garden,184.24,91,Description for item 387 with some random text.
ID_388,Item 388,Toys,155.42,37,Description for item 388 with some random text.
ID_389,Item 389,Toys,52.52,9,Description for item 389 with some random text.
ID_390,Item 390,Garden,233.02,20,Description for item 390 with some random text.
ID_391,Item 391,Electronics,90.12,72,Description for item 391 with some random text.
ID_392,Item 392,Electronics,495.92,75,Description for item 392 with some random text.
ID_393,Item 393,Home,401.24,36,Description for item 393 with some random text.
ID_394,Item 394,Home,388.63,38,Description for item 394 with some random text.
ID_395,Item 395,Electronics,395.45,47,Description for item 395 with some random text.
ID_396,Item 396,Toys,116.77,30,Description for item 396 with some random text.
ID_397,Item 397,Electronics,36.06,79,Description for item 397 with some random text.
ID_398,Item 398,Toys,273.44,76,Description for item 398 with some random text.
ID_399,Item 399,Electronics,158.68,78,Description for item 399 with some random text.
ID_400,Item 400,Toys,133.05,74,Description for item 400 with some random text.
ID_401,Item 401,Toys,277.33,34,Description for item 401 with some random text.
ID_402,Item 402,Home,53.47,60,Description for item 402 with some random text.
ID_403,Item 403,Home,390.5,95,Description for item 403 with some random text.
ID_404,Item 404,Home,56.05,60,Description for item 404 with some random text.
ID_405,Item 405,Garden,289.33,83,Description for item 405 with some random text.
ID_406,Item 406,Electronics,122.96,36,Description for item 406 with some random text.
ID_407,Item 407,Electronics,334.3,13,Description for item 407 with some random text.
ID_408,Item 408,Home,456.33,92,Description for item 408 with some random text.
ID_409,Item 409,Home,402.04,73,Description for item 409 with some random text.
ID_410,Item 410,Garden,439.82,44,Description for item 410 with some random text.
ID_411,Item 411,Toys,413.18,20,Description for item 411 with some random text.
ID_412,Item 412,Electronics,286.44,97,Description for item 412 with some random text.
ID_413,Item 413,Garden,26.95,24,Description for item 413 with some random text.
ID_414,Item 414,Toys,23.17,13,Description for item 414 with some random text.
ID_415,Item 415,Electronics,469.24,71,Description for item 415 with some random text.
ID_416,Item 416,Home,135.61,99,Description for item 416 with some random text.
ID_417,Item 417,Home,104.94,33,Description for item 417 with some random text.
ID_418,Item 418,Toys,366.52,97,Description for item 418 with some random text.
ID_419,Item 419,Garden,374.73,13,Description for item 419 with some random text.
ID_420,Item 420,Garden,434.44,11,Description for item 420 with some random text.
ID_421,Item 421,Toys,123.56,9,Description for item 421 with some random text.
